wide_df_colnames_match,description,food_category_id,food_firsttwoword,food_name,Nitrogen,Protein,Total.lipid..fat.,Carbohydrate..by.difference,Ash,Energy,Starch,Sucrose,Glucose,Fructose,Lactose,Maltose,Carbohydrate..by.summation,Water,Sugars..Total,Fiber..total.dietary,Total.fat..NLEA.,Calcium..Ca,Iron..Fe,Magnesium..Mg,Phosphorus..P,Potassium..K,Sodium..Na,Zinc..Zn,Copper..Cu,Iodine..I,Manganese..Mn,Molybdenum..Mo,Selenium..Se,Retinol,Vitamin.A..RAE,Carotene..beta,Vitamin.E..alpha.tocopherol.,Vitamin.D..D2.+.D3...International.Units,Vitamin.D2..ergocalciferol.,Vitamin.D3..cholecalciferol.,Vitamin.D..D2.+.D3.,Cryptoxanthin..beta,Lutein.+.zeaxanthin,Tocopherol..beta,Tocopherol..gamma,Tocopherol..delta,Tocotrienol..alpha,Tocotrienol..beta,description_short
food.1750338,"Almond milk, unsweetened, plain, shelf stable",14,almond milk,almond milk,0.08875,0.5546875,1.221,0.3371125,0.4872,0,0,0,0,0,0,0,0,97.4,0,0,1.1089,172.7,0.2899,6.785,29.85,30.79,59.58,0.1718,0.02126,0,0.04497,0,0,41.42,41.4,0,3.323,37.1,0.9266,0,0.927,0,0,0,0.02746,0,0,0,"Almond milk,"
food.2257046,"Oat milk, unsweetened, plain, refrigerated",14,oat milk,oat milk,0.1275,0.796875,2.749,5.100325,0.7938,0,0,0,0.7706,0,0,1.551,0,90.56,2.3216,0,0,148.5,0.2612,5.909,89.18,148.4,41.98,0.09062,0.02712,0,0.1262,10.09,0,84.73,0,0,0,68,1.694,0.007692,1.7,0,0,0,0,0,0,0,"Oat milk,"
food.2261420,"Flour, almond",12,flour almond,flour almond,4.199,26.24375,50.23,16.24925,2.961,0,0,0,0,0,0,0,0,4.316,0,9.266,0,232.3,3.225,251.1,512.1,666.8,0.8944,2.795,0.9753,0,1.813,36.13,0.7419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Flour, almond"
food.319877,Hummus,16,hummus na,hummus,1.28,0,19,0,1.98,0,0,0,0,0,0,0,0,56.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hummus
food.320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",13,proximates beef,beef,0,23.4,3.46,0,1.19,0,0,0,0,0,0,0,0,73.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Proximates, Beef,"
food.320380,"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",13,se -,beef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Se -
food.320381,"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",13,minerals -,beef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.37,11.4,222,312,50,3.38,0.035,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Minerals -
food.321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1,milk reduced,milk reduced,0.53,3.35,1.9,4.91,0.75,50,0,0,0,0,4.89,0,0,89.1,4.89,0,1.64,126,0,12,103,159,39,0.43,0.001,39.6,0.001,0,1.8,83,83,3,0.03,45,0,1.1,1.1,0,0,0,0,0,0,0,"Milk, reduced"
food.321366,"Salt, Not Iodized",2,salt not,salt,0,0,0,0,99.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salt, Not"
food.321372,"Salt, Iodized",2,salt iodized,salt,0,0,0,0,99.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salt, Iodized"
